cp,nam,ky,tai_san_ngan_han_(đong),tien_va_tuong_đuong_tien_(đong),gia_tri_thuan_đau_tu_ngan_han_(đong),cac_khoan_phai_thu_ngan_han_(đong),hang_ton_kho_rong,tai_san_luu_đong_khac,tai_san_dai_han_(đong),phai_thu_ve_cho_vay_dai_han_(đong),tai_san_co_đinh_(đong),đau_tu_dai_han_(đong),loi_the_thuong_mai,tai_san_dai_han_khac,tong_cong_tai_san_(đong),no_phai_tra_(đong),no_ngan_han_(đong),no_dai_han_(đong),von_chu_so_huu_(đong),von_va_cac_quy_(đong),cac_quy_khac,lai_chua_phan_phoi_(đong),von_ngan_sach_nha_nuoc_va_quy_khac,loi_ich_cua_co_đong_thieu_so,tong_cong_nguon_von_(đong),tra_truoc_cho_nguoi_ban_ngan_han_(đong),phai_thu_ve_cho_vay_ngan_han_(đong),"hang_ton_kho,_rong_(đong)",tai_san_luu_đong_khac_(đong),quy_đau_tu_va_phat_trien_(đong),co_phieu_pho_thong_(đong),von_gop_cua_chu_so_huu_(đong),vay_va_no_thue_tai_chinh_dai_han_(đong),nguoi_mua_tra_tien_truoc_ngan_han_(đong),vay_va_no_thue_tai_chinh_ngan_han_(đong),loi_the_thuong_mai_(đong),tra_truoc_dai_han_(đong),tai_san_dai_han_khac_(đong),phai_thu_dai_han_khac_(đong),phai_thu_dai_han_(đong)
FPT,2025,2,52711179992741,10019630995136,26619399709978,12525313635530,2074111218172,1472724433925,28554895462630,5262117035,16736349598106,3814048381835,0,5696418377281,81266075455371,41393292129716,37683199470884,3710092658832,39872783325655,39870033325655,3445303270339,13754755729692,2750000000,6569531877020,81266075455371,806039137690,10069852326,2157814116939,0,1153142943064,14813301220000,14813301220000,2739611909827,832680973164,20297311111107,1157563156639,3961673550929,3489039064306,602496864928,555386499326
FPT,2025,1,46075510989597,6755645214252,23768377985785,11997831491115,2107939084995,1445717213450,27922162132192,3234647419,15548353983782,3526503466795,0,5600891937741,73997673121789,36101018424847,33917117422503,2183901002344,37896654696942,37893904696942,1929012703454,13205526456323,2750000000,5822598933827,73997673121789,654479702711,9757907901,2238873166859,0,2071074307101,14710691830000,14710691830000,987681080191,601277867861,18320209599285,1066102117874,3785638253320,3422494535673,482857117398,433719282180
FPT,2024,4,45535942846453,9315440438884,21785213686808,11381523992803,1856756949030,1197007778928,26464052832167,2509722351,14816131186204,3318095237260,0,5438413518284,71999995678620,36272455573820,34836184067740,1436271506080,35727540104800,35724790104800,1929012703454,11030528671431,2750000000,5933309621004,71999995678620,610379845664,9808117590,1990224486513,0,2033289141535,14710691830000,14710691830000,501115537075,562066755666,14446238451323,1097458206678,3765187625417,3393737969842,381508926294,331646166008
FPT,2024,3,42605105704316,7935632407357,19442595123064,11875150699489,2059110974322,1292616500084,24976481427066,897416719,14439270982491,3214141461080,0,5501511121171,67581587131382,32217402904957,30969636903539,1247766001418,35364184226425,35361434226425,1928079706361,11263802921306,2750000000,5671387531825,67581587131382,566097011978,33543915000,2193960954794,0,1785871347912,14604480660000,14604480660000,478259485405,561493915003,14167809581083,1434724678776,3447179472476,3127281986657,398299567069,346824501151
FPT,2024,2,40835231143696,6836262549195,19916062543669,10992515047452,1883517781683,1206873221697,24451014484828,298168000,14177576187762,3095902850581,0,5386582674862,65286245628524,32549802380215,31353291224627,1196511155588,32736443248309,32733693248309,1928079706361,9178029915429,2750000000,5250105319906,65286245628524,599121868182,18634400000,2020867809584,0,1689800219262,14604480660000,14604480660000,478494331122,773964458511,16024050830233,1479792163477,3317231255111,2957192860629,367722195710,315647881073
FPT,2024,1,37679149034489,6341457504996,18230159723426,10054871366217,1856403641469,1196256798381,24345556013940,0,13814237251681,3415559155234,0,5366724357153,62024705048429,30297604017265,29033182945777,1264421071488,31727101031164,31724351031164,1928079706361,10478838767447,2750000000,4892732884725,62024705048429,628462570207,657520000,1996597949120,0,1626776630590,12699688750000,12699688750000,525148987126,663830151912,15984086694338,1611723437032,3291841329838,2949336301696,372045169185,319672686548
FPT,2023,4,36709543350385,8279156683221,16104205358010,9533935053243,1593411075233,1198835180678,23615732701547,0,13643232649898,3367402312269,0,5042420397778,60325276051932,30376921097518,29667280422306,709640675212,29948354954414,29945604954414,1928602158147,8679208502528,2750000000,4958194500693,60325276051932,348405863076,515430000,1724956924671,0,1559995344872,12699688750000,12699688750000,208074996962,602100022731,13837894474107,1283790079129,3389945901107,2830355013038,299779688236,247407205599
FPT,2023,3,39531943273981,7153625069795,19618195845890,9819319720327,1757547511785,1183255126184,22580733074663,582878037,13261738918834,3223296628954,0,4529333425055,62112676348644,33707020718946,33050415339821,656605379125,28405655629698,28402905629698,1179064868147,8388775579103,2750000000,4771571633243,62112676348644,419601591333,50546966120,1896440753051,0,1278251861087,12699688750000,12699688750000,172070230363,501875085943,18937892531470,755457584159,3426793863558,2562675236710,289197032318,237407427718
FPT,2023,2,38758427341944,6236475101406,20451941376989,9006495599449,2028260743417,1035254520683,21765967171287,729134337,12232267027235,3045169826409,0,4501685335332,60524394513231,31929066630167,31286939836444,642126793723,28595327883064,28592577883064,1179064868147,10666118581988,2750000000,4444671445841,60524394513231,500907002679,50562368657,2178824846894,0,1186162995340,11043316220000,11043316220000,214538478651,601240983383,19307278156994,693010132357,3492345731610,2432093749312,280432794993,228789446693
FPT,2023,1,29524492711606,3289424451229,13860719245281,9293933666296,2085309446226,995105902574,21216668704842,1002905644,11983455355040,3257209895051,0,4512159868725,50741161416448,23679982202458,23043504756733,636477445725,27061179213990,27058429213990,1179064868147,9207127401083,2750000000,4472360423478,50741161416448,646447723206,50766311424,2236267337224,0,1134117262506,10970265720000,10970265720000,312845373321,662235154979,12043373564413,715362979924,3516501185403,2364550933343,274630125271,223260548278
FPT,2022,4,30933924692832,6440177174268,13036072272619,8510152205706,1965787736563,981735303676,20721483952116,1189922137,12032914964907,3251688307364,0,4149601281921,51655408644948,26312427899207,24534231146586,1778196752621,25342980745741,25340230745741,1179064868147,7704079785679,2750000000,4310620574492,51655408644948,293039400616,882560901,2121118039562,0,1079641024169,10970265720000,10970265720000,1477830333990,491097603761,10904344845014,407944847961,3488252134893,2386837295565,276273436689,225090876189
FPT,2022,3,35269474823622,3737291803926,20389025847693,8184661159428,2188156229832,770339782743,19857626692533,1291670151,11384340094228,3360604292956,0,3958794897930,55127101516155,31071333186539,28697860823948,2373472362591,24055768329616,24053018329616,1178175536522,6953169466146,2750000000,4160482918155,55127101516155,378829424777,100614829000,2296513265409,0,709313832999,10970265720000,10970265720000,2082516102387,913352865512,16248169308008,422574249924,3264803928105,2261588722773,249558811430,198477998944
FPT,2022,2,37159706261301,5219950154604,21520473393082,7494546042666,2207460290255,717276380694,19135844889005,1505789237,10634895059784,3130048656693,0,3795357179998,56295551150306,32883878002931,30416062290247,2467815712684,23411673147375,23408923147375,1178174776366,6595216750742,2750000000,3852246361310,56295551150306,318135753388,230514320000,2307220887489,0,703060297129,10970265720000,10970265720000,2142433707042,692341801749,19720103859650,437203651887,3125055583508,1997596608809,228050253580,177183560180
FPT,2022,1,36617350544580,4825840656865,21606129233008,7635393660172,1841894721430,708092273105,18983948809040,1843371213,10565697032867,3311117191071,0,3728313587632,55601299353620,32641897512034,30137625429078,2504272082956,22959401841586,22956651841586,1178174776366,8244315683289,2750000000,3775623015431,55601299353620,340903447190,300496746655,1949021697571,0,567067242973,9075516490000,9075516490000,2228486463502,613378448097,20476429866972,451674038727,3041553782870,1965581621372,240576957028,187691154423
FPT,2021,4,35116784160545,5417845274047,20730720735456,6882319562187,1507342901619,578555687236,18579859430879,2268758773,10398841278372,3100458973524,0,3621268367627,53696643591424,32276466949020,29811587201351,2464879747669,21420176642404,21417426642404,1178174776366,6997849946082,2750000000,3477416153145,53696643591424,400846789036,34762220000,1623315328554,0,574902605021,9075516490000,9075516490000,2296308494046,710658541296,17799441187777,466929099458,2972696947589,1931006629408,219704534928,167244119883
FPT,2021,3,30655506375345,5446784083688,16055301795066,6654818353847,1955072057943,543530084801,17589371624276,2574676673,8442954951887,2754826446669,0,3447333732170,48244877999621,27920744789189,25891181819535,2029562969654,20324133210432,20321383210432,1178174776366,6089271019675,2750000000,3340600465277,48244877999621,338658818579,260408900000,2075649392742,0,517940941802,9075516490000,9075516490000,1818552251255,883273527253,15943319237854,508002558873,2819282135701,1797807709833,220362896628,168588399483
FPT,2021,2,29634333850918,4978881337221,15532505379957,6675995128182,1849606883871,597345121687,17346167199680,93335081908,8292676926263,2649059504770,0,3327220825730,46980501050598,26922972857653,24989658347910,1933314509743,20057528192945,20054778192945,1176568596721,5900973399171,2750000000,3270651290604,46980501050598,579927721506,235416520000,1975988437987,0,501599626887,9075516490000,9075516490000,1800034282871,918425150837,15361627338629,496238868858,2723167857012,1344680826356,287712999088,326698907178
FPT,2021,1,27905525240833,5162685900519,14057681981618,6051076946319,1638474324623,995606087754,16568753168985,93568407678,8373230770473,2804530745720,0,2625486242551,44474278409818,24743977981996,22968032691682,1775945290314,19730300427822,19727550427822,920081410199,7294117578994,2750000000,3092414808669,44474278409818,467365468959,0,1760642156640,0,462731536495,7839874860000,7839874860000,1674335919096,677215380800,14804786460957,223327627847,2285753665693,1202989742312,206770217984,245989451844
FPT,2020,4,25608346381474,4684867868361,12435918124269,6263024543620,1290091524352,934444320872,16141090782024,93992225574,8317998687965,2605504854052,0,2601321080116,41749437163498,23146723671078,22382164623421,764559047657,18602713492420,18599963492420,920081410199,6390630135723,2750000000,2859152779020,41749437163498,459336196478,185532228683,1405083502315,0,440634735853,7839874860000,7839874860000,677796913413,463125962596,12062410192740,200034225027,2266063078923,927787136286,203229811570,242872863326
FPT,2020,3,22473334313473,4306782189437,9990823495588,5930772737994,1295548177189,949407713265,15284122357685,91149360800,7238790571133,2529556438447,206724143763,2318332539037,37757456671158,19576055665489,18551811881772,1024243783717,18181401005669,18178651005669,920081410199,5843096960248,2750000000,3118599246246,37757456671158,464970526451,21168790,1375484867442,0,330124830708,7839874860000,7839874860000,753066378324,396225538416,10256051493688,0,2283037199946,922165806267,334832674369,371632861351
FPT,2020,2,20974738294596,4180454757893,8823220085750,5803633693745,1300202611747,867227145461,14938070369160,91148113400,7365996280591,2451568314545,213414062499,2325398922216,35912808663756,18009082670732,16991794634833,1017288035899,17903725993024,17900975993024,912977796599,5744686806612,2750000000,2944452240481,35912808663756,432212031129,0,1375253714502,0,342769607414,7839874860000,7839874860000,803273190638,383308792651,9571890414760,0,2291095492149,865250071864,311628845936,348427785518
FPT,2020,1,19577485114151,3891505567427,6943402877397,6587706294394,1209839863299,945030511634,14839183674775,84637936400,7331928850009,2579220701049,0,2583898944401,34416668788926,16785979311455,15838154515551,947824795904,17630689477471,17627939477471,765332464859,6687411938813,2750000000,2890445222074,34416668788926,373805877604,230160921124,1285598030749,0,325350984284,6817504780000,6817504780000,778966375255,356641092429,9110750395492,220031264727,2323596176561,912250071864,300966311200,331255073782
FPT,2019,4,19038081282518,3457655751733,6777898508889,6520456215584,1284200733943,997870072369,14620661733724,427917600,7491241713294,2496552054487,0,2760879786138,33658743016242,16783930959035,16291312998786,492617960249,16874812057207,16872062057207,780914628944,5999465426589,2750000000,2835086436716,33658743016242,274825585395,2717176861,1349958901393,0,307526573229,6783586880000,6783586880000,349769099942,383562042162,7515958654008,225929415272,2494699086503,893623994517,275438562531,221517306313
FPT,2019,3,18431909603327,3230352153676,6305339416212,6515911793608,1425172257953,955133981878,13844914861433,27000000000,7184933236936,2479487378717,0,2149555207086,32276824464760,16025694080600,15404437564853,621256515747,16251130384160,16248380384160,777869243918,5649074093096,2750000000,2671305243641,32276824464760,398988974061,548229100,1491094975154,0,221554262398,6783586880000,6783586880000,435530138322,374475950305,8217017165227,322019955850,1788546498680,893623994517,277675727104,249946553286
FPT,2019,2,17849605068190,3081007361357,5892075944888,6452904237545,1508550852201,915066672199,12526152004774,0,6913929593779,2347928008422,0,1708476939986,30375757072964,14570321210316,14116094162443,454227047873,15805435862648,15802685862648,786858519093,5367190230972,2750000000,2492378126833,30375757072964,373533640166,50781019440,1580294933153,0,221229437401,6783586880000,6783586880000,278034243597,504493867819,7273258811787,313492610518,1354729415894,847143994517,168819882722,114090708904
FPT,2019,1,16918516176002,2678204837715,5727896026412,5872491479218,1465488400196,1174435432461,11829804916473,79230652,6690492920734,2289488224664,0,1352966950068,28748321092475,13215557898357,12709176054673,506381843684,15532763194118,15530013194118,670060405250,5912132278713,2750000000,2443815265047,28748321092475,279126435406,925510658,1526103850227,0,226332643971,6136367720000,6136367720000,346870919847,627012826668,6585118717633,317464999633,998691329918,824643994517,180682775551,126032832385
FPT,2018,4,18373436282760,3926316297829,5567995714107,6424005050090,1340687216347,1114432004387,11352494084644,392794707,6513735578258,2202466649730,0,1351725531977,29725930367404,14963120976839,14432174582903,530946393936,14762809390565,14760059390565,667035271273,5289520781802,2750000000,2301815230563,29725930367404,218427501076,910049188,1401302666378,0,223908928276,6136367720000,6136367720000,366793322852,418652248691,6603319589348,326017723180,988477952687,793360844792,164124620037,109788240926
FPT,2018,3,17461655201328,3982145134665,5067136124622,5704790784580,1545244045730,1162339111731,10619213737485,0,5601853847035,2000007909095,0,1648577505179,28080868938813,13916060196857,13360081506284,555978690573,14164808741956,14162058741956,631969693052,4776113278181,2750000000,2292337007819,28080868938813,244173236292,0,1548591192845,0,167094186985,6136367720000,6136367720000,302022093735,611546728222,6716837131564,717504213182,892811476111,749521251289,147947456296,254769962478
FPT,2018,2,16757931160407,4060090013409,4866280283759,5429554630371,1276158251807,1125847981061,9528214377917,0,5418766783628,1925316091686,0,962335366522,26286145538324,12400576249250,11901667720854,498908528396,13885569289074,13882819289074,631969693052,4670505451280,2750000000,2123891391702,26286145538324,235001535974,0,1279505398922,0,167077476888,6136367720000,6136367720000,404863295760,576244037368,5971944040829,0,854881589772,749364823537,139573642808,246396148990
FPT,2018,1,15891378282225,3076144406971,4798538245584,5709635608502,1181169445667,1125890575501,9119541571431,0,5189934475460,1850084969756,0,861998585534,25010919853656,11111083511698,10523957829819,587125681879,13899836341958,13897086341958,287829523052,6019674680916,2750000000,1954162280226,25010919853656,277095606491,0,1184516592782,0,173708814233,5309611050000,5309611050000,491988687629,650265625121,4993557964115,0,822692250912,749294842700,140394461510,247216967692
FPT,2017,4,16053004009331,3480646512895,4379446212073,6162178597688,1002295093871,1028437592804,8972219294530,0,5264443175635,1787122979757,0,872627203316,25025223303861,11790285012042,11129329088689,660955923353,13234938291819,13232188291819,287829523052,5507402652308,2750000000,1809385579397,25025223303861,95942796039,0,1006126622804,0,172002871735,5309611050000,5309611050000,565209817637,561261495876,4116988708324,0,812192797375,749259852282,135643533423,242466039605
FPT,2017,3,21767021262664,5224202887296,3477767956792,7317866840669,4394372633733,1352810944174,7926685854116,0,4905909566853,785373395694,0,1079361613025,29693707116780,16659920638433,15768899724110,891020914323,13033786478347,13031036478347,119453610000,4930835458165,2750000000,2403256247224,29693707116780,509660848671,0,4439874335978,0,128954169510,5309611050000,5309611050000,666028478383,605986311096,7916804619692,0,1004747975953,749270143582,211226543616,319077395388
FPT,2017,2,20220919501796,4577961502901,3361115859529,6816083732794,4178402190496,1287356216076,7824884427172,0,4750596377970,795947354918,0,1041132683512,28045803928968,15895578198903,14738301728092,1157276470811,12150225730065,12147475730065,119453610000,4309032623346,2750000000,2144162072539,28045803928968,503241685841,0,4232635876808,0,129518486984,5309611050000,5309611050000,967277281663,547311184469,7887844050852,0,962421353611,751374260101,202563920646,310414772418
FPT,2017,1,20264901139315,4035911405009,4208375623745,5914799777521,4835067582313,1270746750727,7739026250157,0,4472327146696,814313827706,0,1049795330102,28003927389472,16023450273063,14835525527653,1187924745410,11980477116409,11977727116409,56882670000,5019457117921,2750000000,2029550890382,28003927389472,438780412556,0,4892326445708,0,130632143747,4594266840000,4594266840000,1018757872462,574341969779,8894176678529,0,960396905052,752562393141,197384011719,386010703491
FPT,2016,4,22082043377930,5530631337393,3975682395024,6814501442288,4532523674211,1228704529014,7830410830267,0,4581152271885,805462009802,0,1096888215960,29912454208197,18464443603082,17471939662823,992503940259,11448010605115,11445260605115,0,4671222532503,2750000000,1922952382942,29912454208197,614622803831,0,4595745337778,0,126825173804,4594266840000,4594266840000,764018642492,619738720597,9175453147807,0,1007526108358,756802393141,152655954811,341282646583
FPT,2016,3,18913791763597,4675450843741,2907899775232,5779937142113,4465072599458,1085431403053,7484135769767,0,4472559218947,747707523862,0,995918462220,26397927533364,15434638528758,14346984961480,1087653567278,10963289004606,10960539004606,0,4250545485178,2750000000,1904655208078,26397927533364,517158761716,0,4564524570864,0,68353080804,4594266840000,4594266840000,797143763677,491707613042,7732115769330,0,913512661074,683430917721,155282077297,343908769069
FPT,2016,2,17801376676329,3875543217939,2736219157412,5342237880621,4693664582214,1153711838143,7543128306561,0,4485984585934,739068597834,0,1071373006709,25344504982890,14434112158621,13305699676988,1128412481633,10910392824269,10907642824269,0,4249998740248,2750000000,1840324148307,25344504982890,387447591247,0,4774409637783,0,74545823741,4594266840000,4594266840000,854443052022,462307513060,7461561358475,0,896082789432,653932954088,175747621014,364224312786
FPT,2016,1,17461658575148,3429950285189,2223028355804,4955476177915,5088588279987,1764615476253,7233794788358,0,4386355015955,687941279267,0,1027999138680,24695453363506,14052382733258,12948092792816,1104289940442,10643070630248,10640320630248,0,4732993382785,2750000000,1708194645592,24695453363506,239367055862,0,5167886929063,0,79481602212,3975316400000,3975316400000,791606072465,448010225764,7381113092311,0,863111812153,586335847019,166415493041,354892184813
FPT,2015,4,19209379831470,3584709151768,2659240824447,5720742057077,5278907642802,1965780155376,6773824789251,0,4331209412185,689880790535,0,1007687484980,25983204620721,15804967695555,14804950680266,1000017015289,10178236925166,10175486925166,0,4386921053111,2750000000,1592194992858,25983204620721,245703622820,0,5342839679944,0,79748336612,3975316400000,3975316400000,681199048432,410040018332,8124598534499,0,791017761199,610236272675,168590091636,114739263408
FPT,2015,3,16827486019097,3015692853195,1912645754176,5278432468253,4738188245711,1882526697762,6849675532914,0,4777790179794,785343869533,315879176703,970662306884,23677161552011,13704990939996,13006055040834,698935899162,9972170612015,9969420612015,0,4260207462217,2750000000,1537494021384,23677161552011,564233292270,0,4794388751194,96873244761,78776566683,3975316400000,3975316400000,519455092705,616530102872,7123584157075,0,707275398374,695530614296,0,0
FPT,2015,2,16240764508172,2991140629461,1243877434176,5386005932759,4810242901708,1809497610068,6340841830217,0,4379080970346,787760786572,321642932683,852357140616,22581606338389,12657393909105,12339405503283,317988405822,9924212429284,9921462429284,0,4301117961403,2750000000,1440139812996,22581606338389,575037755766,0,4886284578114,115414392136,79577834395,3975316400000,3975316400000,137329926616,574130962313,6203353547591,0,624616478052,695254807470,0,0
FPT,2015,1,16319850549250,3995053828972,899876331275,4906678690700,4837488741165,1680752957138,5886209643197,0,3992554483246,798044036973,327406688663,754784367292,22206060192447,12362567785624,11843484471978,519083313646,8380860246563,8378110246563,0,4708239743575,2750000000,0,22206060192447,737651388801,0,4904241036142,32867657464,81269289338,3439766000000,3439766000000,171743031342,607423352524,6745213941326,0,533631265450,698151894475,64824149455,13420067023
FPT,2014,4,16961911296831,4303014447769,1474754664176,5031916385083,4572636184140,1579589615663,5697774385606,0,3837788188637,796508947186,333170444644,730306805139,22659685682437,13405222234146,13062886453488,342335780658,7909989732017,7907239732017,0,4264798328686,2750000000,0,22659685682437,400189196061,0,4652333244983,31785859896,79400040851,3439766000000,3439766000000,142418459294,478420174874,6722412217259,0,523437534683,703175738859,0,0
FPT,2014,3,14847358003570,4106773475086,721521969131,4731525520762,3982545424277,1304991614314,5098384624455,0,3348901244635,716721207685,333170444644,698481962966,19945742628025,10987860178518,10670683564603,317176613915,7628831128801,7626081128801,0,3973441621590,2750000000,0,19945742628025,413195395283,0,4009497638751,51790646591,88984798522,3439766000000,3439766000000,109847759172,639669770180,5139562464489,0,501582942504,658779251996,1109764525,1109764525
FPT,2014,2,12729371523841,2392462293952,1169418719131,4448975490126,3575971110742,1142543909890,5037030653242,0,3364983373051,712241860447,231508275153,727187380066,17766402177083,8885204838350,8600723839409,284480998941,7587817554569,7585067554569,0,3893405602507,2750000000,0,17766402177083,334804075137,0,3598778861526,50630093906,85601157710,3439766000000,3439766000000,84199226418,534104748878,3851104121850,0,550349959522,662196137428,1109764525,1109764525
FPT,2014,1,12668499994146,3123048999108,861819209993,4148976921805,3510656432275,1023998430965,4777748478666,0,3158962029348,713957792446,231508275153,672210617194,17446248472812,8710119727088,8412878515585,297241211503,7574002979592,7571252979592,0,4566890880858,2750000000,0,17446248472812,328895497833,0,3528270509274,39638216995,82608208245,2752017550000,2752017550000,103542976927,504458122882,4387939070610,0,507135685882,662559886406,1109764525,1109764525
FPT,2013,4,12954620887356,2487189282572,1682449364921,4428870730921,3382873878237,973237630705,4663305002078,0,3053575810122,706727341936,231508275153,670280910342,17617925889434,9363077720250,9075738590861,287339129389,7209655885445,7206905885445,0,4199929897218,2750000000,0,17617925889434,199630390710,0,3407798509666,27609020471,78666938875,2752017550000,2752017550000,93710165255,374759654082,4128330419004,0,511711029489,663468944666,1212664525,1212664525
FPT,2013,3,11269784456021,2292011717347,1204185104297,4064949694207,2838444481728,870193458442,4439276954827,0,2939621416417,713765714819,231508275153,553146283913,15709061410848,7660120055343,7378687410062,281432645281,6904108800408,6901358800408,-823760000,3902593145403,2750000000,0,15709061410848,315728309171,0,2856653454123,33800208658,67103009261,2752017550000,2752017550000,86430121456,504615008416,3569694650987,0,407484621863,663475119446,1235264525,1235264525
FPT,2013,2,11274078330983,2156011854467,1356939558182,3895289568307,3007881319441,857956030586,4249318985038,0,2798353183423,710763989061,216366360783,522590366996,15523397316021,7428090800791,7169969084086,258121716705,6989817549960,6987067549960,0,3987762587400,2750000000,0,15523397316021,289800517767,0,3036100467433,42746703764,67103009261,2752017550000,2752017550000,48051359386,341586970541,3475762416400,0,384147569881,663508051604,1245084775,1245084775
FPT,2013,1,9906638187586,1928204362705,812059551953,3377675283779,3007449666442,781249322707,4152376684146,0,2744794872201,710413686063,216366360783,479556680324,14059014871732,6523997560218,6285132947847,238864612371,6528837986653,6526087986653,0,3539635192653,2750000000,0,14059014871732,323823713352,0,3016025003643,30132492958,67103009261,2738488330000,2738488330000,30916960753,380051351636,2830896536799,0,351902166157,663401022090,1245084775,1245084775
FPT,2007,2,3422271274396,681282901927,0,1623727713214,938978767209,178281892046,446472993927,0,358122173854,67795852500,0,20554967573,3868744268323,1741905477782,1653563596251,88341881531,1922041717461,1919409176236,0,449152878336,2632541225,0,3868744268323,204338201049,0,938978767209,26228914352,102303019,912153440000,912153440000,75644767563,128354729745,836667311302,0,19252875598,16500000000,0,0
FPT,2007,1,2947790658881,511180166408,0,1465611066630,838245475956,132753949887,361205829428,0,324037209642,17795852500,0,19272767286,3308996488309,1477624120331,1362684634871,114939485460,1687341827536,1676205771880,0,494297190087,11136055656,144030540442,3308996488309,182485575748,0,838245475956,12733108706,13006998956,608102300000,608102300000,105150885460,132120145529,562019120476,0,18265449546,16500000000,100000000,100000000
