ticker,yearreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_disposal_of_fixed_assets,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
VNM,2024,11599653741335,2095159644941,27455919490,-13348631457,0,-1446896246927,279424561295,0,12866765388841,332752274996,-53951137836,-188120377548,91247100626,-336687661456,-2127692482916,0,-898375565361,9685937539346,-1741501711051,113648911174,-3620022795913,0,0,35704764000,1473078193247,-3739092638543,722407000000,0,17420429433188,-16624469998466,-8159626672950,-6641260238228,-694415337425,2912027359925,8331709575,2225943732075
VNM,2023,10967899391486,2054586864472,26862358183,7448121735,0,-1462766141314,354094837255,0,12259457530859,-244987138316,-1021313389573,-443378131758,7868182212,-302707839570,-1564073949237,0,-803441702254,7887423562363,-1579637140762,104880785286,-2856303791352,0,-35769832735,10570000000,1367711469062,-2988548510501,489787009008,-142548827636,11788416965803,-8276832556495,-8151596251950,-4292773661270,606101390592,2299943527624,5982441709,2912027359925
VNM,2022,10495534676745,2095449858677,-4572925078,3222766873,0,-1186213742158,166039091744,0,11903472280607,-288077307677,851263069739,-386032574554,-73120062114,-141304083849,-1975289763439,0,-1063638382197,8827273176516,-1456914052616,137125557857,0,3634715046607,-43175000000,0,1201019963250,3472771515098,338100000000,0,6257530054586,-10789019801789,-8166899618720,-12360289365923,-60244674309,2348551874348,11636327585,2299943527624
VNM,2021,12922235486919,2121337734780,33465629186,-1658368628,0,-1060996977860,18051638193,0,14351819307323,-516850818361,-2260680842222,1484048321527,115756136,-98339684932,-2356597912369,0,-1171540563209,9431973563893,-1531025359270,133904995529,-3514465835454,150000000,-23227732575,1336500000,1000079344561,-3933248087209,317860664553,0,9596960360003,-7551460199195,-7620758463150,-5257397637789,241327838895,2111242815581,-4018780128,2348551874348
VNM,2020,13518536087024,2208866621752,49503861013,637221447,0,-1482311223047,143818465177,0,15090338709748,-714954818416,-270075299427,-212797659741,23640914247,-212768515107,-2286330907427,0,-1236906523665,10180169388228,-1264816995703,150342752442,-4881270877530,31565648327,-8134000,21631584086,1140545861067,-4802010161311,0,-14364328733,7769144505494,-5753602224085,-7927711544061,-5926533591385,-548374364468,2665194638452,-5577458403,2111242815581
VNM,2019,12795709638557,1948072775534,7332833362,6458209059,0,-722444531042,108824893987,0,14255869808076,373595051949,401995429191,-399803073537,16409131564,-227916555489,-2033592165968,0,-972149044096,11409928541690,-2158249206676,114089987662,-3215379727631,2598197548,-2158238334831,1513217385,665791014375,-6747874852168,0,126609476240,10426775268658,-6233112646051,-7836250770500,-3515978671653,1146075017869,1522610167671,-3490547088,2665194638452
VNM,2018,12051696266123,1626632382351,-91866480156,-1358149087,70047516026,-25010945993,51367418852,-678576213360,13059853322698,-108535667272,-1685436671924,-14512675616,68658670747,-110740338598,-1879580376609,0,-1189467230777,8140239032649,-3185795437639,94475512924,1199161995594,193015826790,-12250000000,18467703509,647779762638,-1045144636184,0,-3325885560,4827980040068,-4103588818554,-7256172407500,-6535107071546,559987324919,963335914164,-713071412,1522610167671
VNM,2017,12228945384136,1299870153900,9211986688,3716375078,11626288383,-67133981645,29438568563,-770127530460,12770168642669,-1599146216641,318469641939,958729788071,-9999654740,-65131015206,-1933509580614,0,-837987080389,9601594525089,-2672989490186,120711406540,-218248720396,301872350540,-86830000000,29535359489,754960073066,-1770989020947,0,-282400972938,2777050122470,-4224186861900,-5805807717105,-7535345429473,295260074669,655423095436,12652744059,963335914164
VNM,2016,11237626570896,1190837007934,24851964200,-1318867186,23313975174,-16478714797,46499350049,-660177839434,11863515371432,-183074482860,-1036885160204,330394544447,84053128168,-34203620310,-1771242504991,0,-874196976859,8389781306333,-1141612752349,50326954998,-1450339912900,0,-8100000000,1800000000,602139063443,-1945786646808,354965040720,-69321694349,4071885136592,-4260046315599,-7238478492000,-7140996324636,-697001665111,1358682600684,-6257840137,655423095436
VNM,2015,9367141056385,1097075552739,9746294608,3971846156,12204756318,5136653828,31277451964,-558439019495,9968114592503,165561724757,-498539245611,484339606582,-35873901754,-27330327473,-1805610651275,0,-715652197441,7659151107688,-1067841221053,44000581044,-1499442450000,1977370985,-80161500899,13902241885,460883543055,-2126681434983,107476398854,0,3973222371269,-3782739882737,-6002261574354,-5704302686968,-171833014263,1527875428216,2640186731,1358682600684
VNM,2014,7613368860918,1032730002039,3786590677,-8404807167,12301757361,-41525452702,39581737758,-498729023388,8153109665496,-130429515728,-545317603122,-40780546630,5506120979,-34741971887,-1521907400545,46119165658,-603234373651,5328323540570,-858946281717,53894284254,-3650516667523,5296101394,-2759659696,19748461471,560566275390,-3872717486427,70421503931,-319602000,1490974827513,-233883299908,-4000514074130,-2673320644594,-1217714590451,2745645325950,-55307283,1527875428216
VNM,2013,8010256856719,786432923150,33285887136,13064625014,10670289649,-34454114103,104027048,-417488105102,8401872389511,-38409421579,258940210677,-272224654212,-27641597327,-104027048,-1399982286806,20984913520,-691692163285,6251743363451,-1491459216581,20991389628,-623100000000,384531896380,-193399575068,4927205437,307719066699,-1589789233505,0,-525442959,0,0,-3167235049800,-3167760492759,1494193637187,1252120160804,-668472041,2745645325950
